,Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
2,122," Brunton, BR Noack…",Machine learning for fluid mechanics,1151,2020, annualreviews.org, Annual review of fluid …,https://www.annualreviews.org/doi/abs/10.1146/annurev-fluid-010719-060214,384
7,64,Villaescus,The CAMELS Project: Cosmology and Astrophysics with Machine-learning Simulations,75,2021, iopscience.iop.org, The Astrophysical …,https://iopscience.iop.org/article/10.3847/1538-4357/abf7ba/meta,38
43,75,"Dai, U Seljak",Learning effective physical laws for generating cosmological hydrodynamics with Lagrangian deep learning,22,2021, National Acad Sciences, Proceedings of the National Academy of …,https://www.pnas.org/doi/abs/10.1073/pnas.2020324118,11
